# Full  Name                    SelID   SpecObjId               Date           Inst            Texp   Seeing    SDSS                    Sloan  _RA             _DE
55      J085347.72+065106.87    G08-2  334899956504592384      2010-01-18      AAT/SPIRAL      3600    2.0     J085347.71+065106.8     Sloan   133.44879       +06.85189
56      J080412.52+070958.5     G08-3  494498037406629888      2010-01-18      AAT/SPIRAL      3600    1.9     J080412.52+070958.5     Sloan   121.05217       +07.16625
57      J08276.707+041923.0     G08-4  333773945297698816      2010-01-19      AAT/SPIRAL      3600    1.1     J082706.70+041923.1     Sloan   126.77792       +04.32308
58      J085418.73+064620.6     G08-5  334899956882079744      2010-01-19      AAT/SPIRAL      3600    1.3     J085418.74+064620.5     Sloan   133.57808       +06.77236
59      J091210.96+100412.0     G09-1  489712833139834880      2010-01-19      AAT/SPIRAL      3600    1.3     J091210.96+100412.0     Sloan   138.04567       +10.07000
60      J102142.47+124518.7     G10-1  491683209700966400      2010-01-18      AAT/SPIRAL      3600    2.1     J102142.47+124518.8     Sloan   155.42696       +12.75522
61      J113520.16+111242.1     G11-1  452558278207995904      2010-01-18      AAT/SPIRAL      1800    1.8     J113520.16+111241.9     Sloan   173.83400       +11.21164
62      J135022.74-025157.5     G13-1  257211852017106944      2008-07-16      AAT/SPIRAL      3600    1.5     J135022.74-025157.5     Sloan   207.59475       -02.86597
63      J145428.33+004434.3     G14-1  87199082266755072       2008-07-16      AAT/SPIRAL      3600    1.1     J145428.32+004434.3     Sloan   223.61800       +00.74286
64      J145435.35-020049.7     G14-3  259463424658898944      2008-07-16      AAT/SPIRAL      3600    1.8     J145435.35-020049.6     Sloan   223.64729       -02.01378
65      J203724.58-062200.33    G20-1  178679178873274368      2008-07-16      AAT/SPIRAL      3600    1.1     J203724.58-062200.3     Sloan   309.35242       -06.36675
66      J20442.915-064657.9     G20-2  178960572606316544      2008-07-16      AAT/SPIRAL      3600    0.9     J204402.91-064657.9     Sloan   311.01212       -06.78275
67      J211911.80+010831.9     G21-2  278041388019351552      2008-07-16      AAT/SPIRAL      1800    1.1     J211911.80+010832.0     Sloan   319.79917       +01.14222
68      J104431.76+120925.2     H10-2  450869566705238016      2010-01-22      2.3m/WiFeS      3600    1.4     J104431.76+120925.2     Sloan   161.13233       +12.15700
